SKU,customer_ID,payment_ID,shipping_ID,invoice_ID,quantity_purchased,unit_price_USD,purchase_date
CLT_001,1034,PAY006,DEL_200,INV_PAPR,53,20,2022-07-16
CLT_010,1088,PAY002,DEL_200,INV_ELCT,64,26,2021-12-01
CLT_004,1218,PAY003,DEL_300,INV_ELCT,73,50,2021-11-29
FTW_002,1145,PAY005,DEL_400,INV_PAPR,90,27,2021-06-11
CLT_001,1332,PAY005,DEL_300,INV_ELCT,49,20,2022-10-30
FTW_004,1621,PAY006,DEL_500,INV_ELCT,20,34,2023-01-20
CLT_006,1145,PAY002,DEL_300,INV_PAPR,85,15,2023-10-16
CLT_007,1331,PAY003,DEL_300,INV_ELCT,34,15,2021-08-14
OTW_001,1265,PAY006,DEL_200,INV_PAPR,97,52,2021-08-25
ACC_004,1021,PAY002,DEL_100,INV_PAPR,31,20,2023-10-11
FTW_003,1377,PAY001,DEL_600,INV_ELCT,34,31,2021-12-23
CLT_007,1318,PAY001,DEL_600,INV_PAPR,68,15,2021-04-01
OTW_001,1004,PAY006,DEL_200,INV_ELCT,72,52,2021-05-06
CLT_002,1317,PAY005,DEL_200,INV_ELCT,51,25,2021-04-18
OTW_001,1202,PAY004,DEL_300,INV_ELCT,53,52,2022-09-16
CLT_008,1215,PAY005,DEL_600,INV_ELCT,81,12,2022-12-08
ACC_008,1633,PAY004,DEL_400,INV_ELCT,36,23,2021-07-19
CLT_002,1599,PAY006,DEL_100,INV_ELCT,38,25,2023-06-24
CLT_010,1359,PAY002,DEL_300,INV_PAPR,48,26,2022-09-18
CLT_005,1605,PAY004,DEL_500,INV_ELCT,90,45,2021-04-17
CLT_005,1305,PAY002,DEL_200,INV_ELCT,51,45,2021-08-06
CLT_005,1021,PAY004,DEL_600,INV_PAPR,62,45,2023-07-07
CLT_005,1397,PAY004,DEL_600,INV_PAPR,37,45,2022-10-24
CLT_005,1576,PAY003,DEL_200,INV_PAPR,88,45,2023-02-23
OTW_002,1580,PAY004,DEL_600,INV_ELCT,22,48,2021-07-10
CLT_003,1232,PAY005,DEL_200,INV_PAPR,25,30,2022-10-31
ACC_006,1486,PAY003,DEL_400,INV_PAPR,20,25,2022-07-15
CLT_007,1307,PAY001,DEL_400,INV_ELCT,56,15,2021-10-23
ACC_004,1157,PAY005,DEL_300,INV_ELCT,94,20,2023-05-01
CLT_002,1027,PAY003,DEL_600,INV_PAPR,48,25,2023-03-04
ACC_006,1277,PAY003,DEL_500,INV_ELCT,31,25,2022-09-07
CLT_002,1104,PAY006,DEL_600,INV_ELCT,79,25,2021-04-14
OTW_002,1380,PAY006,DEL_300,INV_PAPR,67,48,2021-06-25
CLT_005,1319,PAY002,DEL_600,INV_PAPR,38,45,2021-12-13
CLT_011,1474,PAY005,DEL_100,INV_PAPR,91,20,2022-03-08
CLT_001,1428,PAY003,DEL_100,INV_ELCT,33,20,2021-10-12
CLT_011,1357,PAY005,DEL_300,INV_PAPR,69,20,2022-10-11
CLT_004,1196,PAY005,DEL_600,INV_PAPR,45,50,2023-11-26
CLT_002,1023,PAY006,DEL_100,INV_ELCT,37,25,2022-06-07
CLT_005,1319,PAY003,DEL_200,INV_PAPR,60,45,2022-12-31
ACC_004,1502,PAY004,DEL_400,INV_ELCT,76,20,2022-02-24
ACC_007,1635,PAY006,DEL_500,INV_PAPR,39,16,2022-06-23
OTW_001,1493,PAY005,DEL_300,INV_ELCT,100,52,2021-04-27
ACC_007,1386,PAY005,DEL_600,INV_PAPR,69,16,2021-07-16
ACC_005,1243,PAY005,DEL_300,INV_PAPR,53,26,2023-12-21
CLT_009,1432,PAY005,DEL_100,INV_ELCT,21,4,2021-06-01
CLT_006,1463,PAY002,DEL_600,INV_ELCT,43,15,2021-02-06
ACC_006,1262,PAY002,DEL_300,INV_ELCT,54,25,2021-08-13
CLT_006,1592,PAY002,DEL_600,INV_PAPR,55,15,2022-12-25
CLT_003,1156,PAY004,DEL_400,INV_PAPR,30,30,2022-06-05
CLT_001,1118,PAY004,DEL_600,INV_PAPR,28,20,2022-10-20
CLT_008,1376,PAY003,DEL_100,INV_PAPR,59,12,2021-04-25
CLT_011,1065,PAY003,DEL_300,INV_ELCT,20,20,2022-05-31
CLT_008,1574,PAY003,DEL_400,INV_PAPR,24,12,2022-08-16
OTW_001,1655,PAY004,DEL_400,INV_ELCT,94,52,2023-12-07
OTW_002,1344,PAY003,DEL_100,INV_PAPR,28,48,2021-04-09
ACC_001,1403,PAY003,DEL_600,INV_ELCT,73,20,2023-05-31
OTW_001,1172,PAY004,DEL_600,INV_PAPR,64,52,2022-01-09
CLT_003,1499,PAY006,DEL_300,INV_ELCT,54,30,2023-05-22
ACC_002,1378,PAY004,DEL_500,INV_ELCT,79,6,2022-01-18
CLT_010,1278,PAY002,DEL_200,INV_PAPR,37,26,2023-01-15
